food_name,food_category,food_price,food_description
야채김밥,김밥,2000,"야채김밥은 한국의 전통적인 간식이며, 식사로도 즐겨 먹는 음식입니다. 김밥은 해조류인 김을 사용하여 준비되며, 채소와 기타 재료로 구성됩니다.김밥은 재료로 사용되는 밥을 김으로 감싸고, 중앙에 다양한 채소를 넣어서 만들어집니다. 일반적으로는 당근, 시금치, 오이, 계란 등 다양한 야채를 사용합니다. 추가적으로 햄, 어묵, 치즈 등의 재료도 함께 넣을 수 있습니다."
치즈김밥,김밥,2500,"치즈김밥은 한국의 인기 간식 중 하나로, 김밥 안에 치즈를 넣어 만든 음식입니다. 김밥은 김으로 감싼 밥을 기본으로 하며, 일반적으로는 채소, 계란, 햄 등 다양한 재료를 함께 넣어 준비됩니다. 그리고 치즈를 추가하여 김밥의 맛과 풍미를 더해줍니다. 치즈김밥은 주로 장바구니 모양으로 만들어지며, 김밥을 김으로 감싼 후 중앙에 재료와 치즈를 넣고 말아서 완성합니다. 치즈는 녹으면서 김밥에 부드러움과 풍미를 더해주는데, 이는 많은 사람들에게 인기를 끌고 있습니다."
소고기김밥,김밥,3000,"소고기김밥은 한국의 전통적인 김밥 중 하나로, 김밥 안에 소고기를 넣어 만든 음식입니다. 김밥은 김으로 감싼 밥을 기본으로 하며, 일반적으로는 채소, 계란, 어묵 등 다양한 재료를 함께 넣어 준비됩니다. 소고기김밥은 이러한 재료에 소고기를 추가하여 만들어집니다. 소고기는 보통 양념한 소고기 불고기나 소고기 육회로 사용되며, 부드럽고 맛있는 고기의 풍미를 김밥에 더해줍니다."
매콤오징어김밥,김밥,3000,"매콤오징어김밥은 한국의 전통적인 김밥 중 하나로, 김밥 안에 매콤한 오징어를 넣어 만든 음식입니다. 김밥은 김으로 감싼 밥을 기본으로 하며, 일반적으로는 채소, 계란, 어묵 등 다양한 재료를 함께 넣어 준비됩니다. 매콤오징어김밥은 이러한 재료에 매콤한 오징어를 추가하여 만들어집니다. 오징어는 양념하여 볶거나 튀겨서 사용되며, 매콤하고 고소한 맛을 김밥에 더해줍니다."
매콤땡초김밥,김밥,3000,"매콤땡초김밥은 한국의 전통적인 김밥 중 하나로, 김밥 안에 매콤한 땡초를 넣어 만든 음식입니다. 김밥은 김으로 감싼 밥을 기본으로 하며, 일반적으로는 채소, 계란, 어묵 등 다양한 재료를 함께 넣어 준비됩니다. 매콤땡초김밥은 이러한 재료에 매콤한 땡초를 추가하여 만들어집니다. 땡초는 특별한 양념으로 처리되어 매운 맛과 향을 가지며, 김밥에 특별한 맛을 더해줍니다."
참치마요김밥,김밥,3500,"참치마요김밥은 한국의 전통적인 김밥 중 하나로, 김밥 안에 참치마요를 넣어 만든 음식입니다. 김밥은 김으로 감싼 밥을 기본으로 하며, 일반적으로는 채소, 계란, 어묵 등 다양한 재료를 함께 넣어 준비됩니다. 참치마요김밥은 이러한 재료에 참치와 마요네즈를 혼합한 참치마요를 추가하여 만들어집니다. 참치마요는 참치와 마요네즈가 함께 섞여 맛있고 부드러운 크림 형태의 소스로 사용됩니다."
참치와사비김밥,김밥,,참치와 와사비를 넣어서 밥과 김으로 싸서 만들어 매콤한 맛이 특징인 일본에서 유래된 김밥 
새우날치알김밥,김밥,,"새우와 날치알을 함께 넣어서 밥과 김으로 싸서 만든, 바다의 맛이 어우러진 한국의 대표적인 김밥"
어린이김밥,김밥,,"어린이들이 좋아하는 재료인 소시지, 치즈, 계란, 오이 등을 사용하여 밥과 김으로 싸서 만든, 아이들 간식용으로 인기 있는 김밥"
된장찌개,찌개,,"된장과 각종 야채, 돼지고기 등을 넣어서 끓여낸, 고소하고 짭짤한 맛이 특징인 한국의 대표적인 찌개"
돼지김치찌개,찌개,,"돼지고기와 김치, 두부 등을 함께 넣어서 만든, 매운 맛과 돼지고기의 고소한 맛이 일품인 한국의 대표적인 찌개"
순두부찌개,찌개,,"부드러운 순두부와 각종 야채, 돼지고기 등을 넣어서 만든, 부드럽고 고소한 맛이 특징인 한국의 대표적인 찌개"
참치김치찌개,찌개,,"참치와 김치를 함께 넣어서 만든, 참치의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
고등어김치찌개,찌개,,"고등어와 김치를 함께 넣어서 만든, 고등어의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
꽁치김치찌개,찌개,,"꽁치와 김치를 함께 넣어서 만든, 꽁치의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
육개장,국,,"고기와 야채, 국수 등을 넣고 매운 국물로 끓여 만든, 한국 전통 음식 중 하나로, 매콤하면서도 깔끔한 맛이 특징인 국"
뚝배기불고기,국,,"소고기, 야채, 고추장 등을 함께 뚝배기에 담아서 구워내는, 살짝 매콤하고 고소한 맛이 특징인 한국의 대표적인 불고기"
김치볶음밥,밥,,"밥에 김치, 돼지고기, 야채 등을 넣고 볶아서 만든, 매콤하면서도 고소한 맛이 일품인 한국의 대표적인 볶음밥"
카레덮밥,밥,,"고기나 해산물, 야채 등을 카레 소스와 함께 볶아서 밥 위에 올려 만든 일본 요리 중 하나로, 달콤하고 향신로운 맛이 특징인 덮밥"
제육덮밥,밥,,"돼지고기를 양념하여 볶은 후 밥 위에 올려 만든, 살짝 매콤하면서도 고소한 맛이 특징인 한국의 대표적인 덮밥"
참치볶음밥,밥,,"참치캔과 야채를 볶아서 만든, 간편하면서도 맛있는 한국의 대표적인 볶음밥"
야채비빔밥,밥,,"색상이 다양한 야채와 고추장 등을 밥 위에 얹고 섞어 먹는, 건강하면서도 맛있는 한국의 대표적인 비빔밥"
돌솥비빔밥,밥,,"돌솥에 밥과 야채, 고기 등을 넣고 쌀쌀한 날씨에 먹는, 따뜻하고 부드러운 맛이 특징인 한국의 대표적인 비빔밥"
햄야채볶음밥,밥,,햄과 야채를 볶아 밥과 함께 볶아내어 맛을 내는 볶음밥
새우볶음밥,밥,,새우와 야채를 볶아 밥과 함께 볶아내어 짭짤하고 고소한 맛을 느낄 수 있는 볶음밥
새우날치알볶음밥,밥,,"새우, 날치알, 야채 등을 볶아 밥과 함께 볶아내어 간장 등으로 간을 맞춘 볶음밥"
오므라이스,밥,,"튀긴 밥 위에 양파와 소고기 등을 넣고, 토마토 소스로 맛을 낸 음식"
라면,면,,면과 스프를 넣고 끓인 인기 있는 한국의 인스턴트 면 음식
콩나물라면,면,,라면에 콩나물을 추가하여 더욱 건강하고 맛있게 즐길 수 있는 음식
떡라면,면,,라면에 떡을 추가하여 더욱 매콤하고 쫄깃한 식감을 느낄 수 있는 음식
치즈라면,면,,라면 위에 치즈를 녹여 넣어 부드럽고 짭짤한 맛이 일품인 면 음식
만두라면,면,,라면 스프에 만두를 넣고 끓여 라면과 만두를 함께 즐길 수 있는 면 음식
국물떡볶이,분식,,떡과 어묵 등을 국물에 끓여 매콤하게 양념한 음식
국물라볶이,분식,,떡과 라면을 국물과 양념으로 조리한 매콤한 음식
부산오뎅,분식,,"고등어 등을 갈아 만든 오뎅과 떡, 어묵 등을 조리한 부산 지역의 특산 음식"
부산생생우동,면,,두툼하고 탱글탱글한 면발이 특징인 부산 지역에서 유명한 면 음식으로 일본식 면
고기만두,분식,,돼지고기와 양파 등을 넣어 만든 국내에서 대표적인 만두
김치만두,분식,,"김치와 돼지고기 등을 넣어 만든 만두로, 국내에서 가장 사랑받는 분식"
물만두,분식,,찹쌀가루로 만든 밀가루 반죽에 고기와 야채 등을 넣고 끓는 물에 삶아 만든 만두
돌솥비빔밥,밥,,"밥 위에 고기와 야채, 계란 등을 올려 양념과 함께 비벼먹는 전통 한식 비빔밥"
만두국,국,,고기와 야채 등이 들어간 만두를 국물에 끓여 만든 한국식 국
떡만두국,국,,떡과 만두를 함께 국물에 끓여 먹는 한국의 전통적인 국
후레쉬쫄면,면,,"물과 전분으로 만든 면발이 쫄깃하고 탱글탱글한 맛과 식감이 특징적인, 전통적인 한국식 면"
등심돈까스,튀김,,부드러운 고기맛이 특징인 등심 부위를 사용하여 만든 돈까스
치즈돈까스,튀김,,치즈의 짭짤한 맛과 돈까스의 고소한 맛이 조화를 이루며 돈까스 위에 치즈를 올려 구워낸 돈까스
수제왕돈까스,튀김,,육즙이 풍부하고 부드러운 고기맛이 특징인 식당에서 직접 만든 두껍고 큰 돈까스